dotty, 3216, 2017-10-02T10:46:32Z, 128afcc, 37312.8685, Mon Oct  2 13:10:19 CEST 2017, 82051.643 44057.422 39802.683 39606.217 38828.844 38742.293 37807.719 37792.633 38020.589 38763.443 , 37347.858 37282.762 37890.549 38343.414 37120.246 37342.975 37581.671 38459.686 36955.528 36942.308 37259.713 37885.700 36860.913 37215.504 37371.263 37523.709 36873.672 36913.090 37268.691 37454.438
tests/scala-library, 3216, 2017-10-02T10:46:32Z, 128afcc, 6243.581, Mon Oct  2 13:13:58 CEST 2017, 24641.360 10952.562 8971.235 7199.269 7310.089 6776.168 6596.530 6456.019 6479.089 6432.341 , 6384.940 6360.609 6279.448 6330.786 6256.908 6268.190 6230.254 6388.231 6228.651 6539.689 6193.108 6403.668 6381.444 6162.014 6110.233 6110.884 6165.774 6102.721 6158.539 6158.602
tests/implicit_cache.scala, 3216, 2017-10-02T10:46:32Z, 128afcc, 124.738, Mon Oct  2 13:14:34 CEST 2017, 2920.536 517.101 410.667 355.623 298.131 291.041 255.849 184.992 201.009 186.915 , 147.510 140.396 130.836 125.765 123.711 133.830 126.787 141.810 127.728 127.005 134.778 122.732 120.406 116.442 118.251 117.668 115.950 115.966 115.982 117.035
tests/implicit-scope-loop.scala, 3216, 2017-10-02T10:46:32Z, 128afcc, 126.58, Mon Oct  2 13:15:11 CEST 2017, 2921.015 709.762 524.883 418.853 388.807 263.008 258.821 205.397 190.817 149.805 , 204.246 141.519 140.577 143.917 134.128 146.028 128.407 139.623 127.674 124.828 128.363 125.486 124.327 122.091 123.285 123.344 123.183 120.838 125.171 120.449
tests/i1535.scala, 3216, 2017-10-02T10:46:32Z, 128afcc, 158.2245, Mon Oct  2 13:15:49 CEST 2017, 3449.214 720.797 692.610 591.847 527.813 453.311 387.427 288.625 235.963 243.399 , 236.184 181.072 170.706 168.744 165.860 162.552 158.850 160.427 157.495 158.669 160.330 153.950 152.302 149.815 153.388 149.813 149.254 157.780 148.327 146.229
tests/i1687.scala, 3216, 2017-10-02T10:46:32Z, 128afcc, 100.2955, Mon Oct  2 13:16:25 CEST 2017, 2861.556 477.134 413.605 375.971 291.716 236.914 172.969 183.052 154.630 118.961 , 112.671 110.547 117.039 110.946 110.287 103.735 102.577 101.946 100.879 99.659 97.927 99.712 101.177 97.291 99.520 95.626 98.918 96.986 96.415 93.918
tests/Vector.scala, 3216, 2017-10-02T10:46:32Z, 128afcc, 616.381, Mon Oct  2 13:20:10 CEST 2017, 7018.199 2113.664 1915.435 2124.276 1514.403 1322.668 1330.680 1336.456 1171.975 1015.364 1176.749 1157.789 866.429 741.995 722.363 730.308 749.458 735.835 743.571 689.508 7163.829 2743.651 1783.280 1578.365 1410.432 1344.997 1262.070 1117.885 1083.530 1045.766 1032.240 1151.428 1380.727 1117.039 930.487 1076.780 1078.211 776.236 689.963 709.044 8286.237 2796.148 2367.123 1979.448 1342.643 1275.496 1575.019 1430.379 1343.737 1071.302 1061.519 976.850 806.825 712.955 676.629 751.041 670.223 656.246 635.589 763.146 , 687.507 761.641 712.129 947.573 645.042 631.550 730.638 635.849 630.002 625.901 639.081 619.734 616.081 643.966 616.681 615.122 633.750 615.323 607.390 604.336 632.034 609.163 611.831 631.401 607.497 599.333 602.340 619.035 607.790 597.903 686.727 674.517 701.126 674.012 661.075 653.422 661.679 650.801 638.005 654.220 633.413 636.111 681.496 659.970 619.642 671.932 630.346 608.990 618.306 613.030 625.069 606.161 601.633 604.666 597.788 599.089 604.937 609.326 598.599 609.763 671.132 753.027 702.951 629.980 684.986 648.860 675.236 661.245 596.390 587.303 590.263 591.747 588.433 584.587 609.228 587.388 578.038 604.059 579.297 594.999 577.745 578.192 573.288 579.888 594.389 569.553 570.265 566.343 585.101 575.560
tests/empty-class.scala, 3216, 2017-10-02T10:46:32Z, 128afcc, 79.6165, Mon Oct  2 13:20:45 CEST 2017, 2339.376 307.478 303.081 224.108 171.545 139.804 126.899 99.231 95.022 85.867 , 84.651 81.262 83.812 79.879 81.457 89.988 80.583 78.893 82.742 79.019 80.967 76.099 77.565 76.608 90.624 79.354 76.445 77.036 77.673 75.895
tests/empty-object.scala, 3216, 2017-10-02T10:46:32Z, 128afcc, 80.6345, Mon Oct  2 13:21:20 CEST 2017, 2439.424 339.093 260.271 255.875 233.526 205.020 136.719 136.758 131.382 111.661 , 85.726 86.282 91.001 85.588 89.516 85.399 79.998 78.916 80.676 82.290 82.039 84.408 78.753 77.328 80.593 78.464 79.571 75.618 77.001 75.316
tests/empty-file.scala, 3216, 2017-10-02T10:46:32Z, 128afcc, 62.3105, Mon Oct  2 13:21:54 CEST 2017, 1990.332 260.435 176.647 210.068 176.431 129.857 88.659 90.595 103.099 69.459 , 67.849 66.401 64.278 64.841 63.724 64.324 62.068 63.748 62.325 62.981 62.018 62.664 62.182 61.055 62.296 60.684 61.733 60.544 61.983 61.741
tests/patmatexhaust.scala, 3216, 2017-10-02T10:46:32Z, 128afcc, 317.1965, Mon Oct  2 13:25:56 CEST 2017, 5306.438 1751.556 1486.393 1332.196 1064.650 823.847 902.592 582.374 545.464 646.827 555.654 477.275 467.338 438.484 413.224 403.499 394.275 379.841 366.465 373.587 5730.610 2130.002 1544.667 1286.006 1319.857 1225.089 1090.195 1011.780 834.519 808.375 727.320 574.601 546.032 500.621 433.927 416.383 441.867 393.438 374.800 383.760 5801.493 2146.439 1610.682 1327.531 1174.021 878.959 831.616 879.983 798.058 748.702 715.294 525.944 453.088 520.979 448.261 402.148 391.303 375.745 375.925 363.709 , 369.659 416.393 356.137 349.666 348.828 342.859 368.195 345.175 332.011 338.430 336.445 323.743 323.408 335.245 324.990 383.506 388.922 324.050 314.367 325.456 311.294 311.217 316.670 381.806 309.081 339.701 320.811 324.448 315.030 309.632 308.207 301.030 302.745 309.259 299.388 297.512 304.450 297.720 299.004 303.958 422.821 442.418 363.972 342.637 341.288 352.372 347.419 364.082 384.462 378.891 351.528 331.085 324.802 334.203 362.125 328.955 329.187 317.800 316.350 315.499 309.043 324.780 311.489 310.266 310.675 310.980 306.517 311.027 303.734 307.157 308.206 300.270 305.498 299.212 294.984 343.947 293.123 302.399 362.228 295.390 361.637 367.830 354.998 359.896 354.783 346.232 335.291 334.621 332.006 324.389 323.620 330.191 318.504 313.075 320.584 316.075 317.226 315.114 318.789 317.167 306.363 307.103 312.697 307.396 303.198 307.028 299.396 305.834 299.615 298.493 305.308 312.031 295.776 302.827 289.745 304.576 315.069 297.809 297.900 296.330
