dotty, 3216, 2017-10-01T08:18:38Z, be01457, 38611.7745, Sun Oct  1 10:43:01 CEST 2017, 77917.790 45907.031 41911.564 40066.368 40077.684 39184.416 39311.803 38981.980 38844.419 38950.212 , 38790.126 38912.730 38917.422 38626.314 38717.089 38744.181 39570.663 38787.840 38662.358 38525.557 38412.993 38543.380 38556.777 38448.596 38597.235 38513.466 38648.945 38421.476 38464.337 38485.324
tests/scala-library, 3216, 2017-10-01T08:18:38Z, be01457, 6385.64, Sun Oct  1 10:46:49 CEST 2017, 24670.787 14204.137 9672.643 7935.191 7592.280 7461.536 6912.184 6738.891 6613.619 6568.601 , 6554.522 6505.129 6450.717 6403.732 6377.365 6452.323 6390.620 6353.801 6396.004 6944.244 6631.002 6380.660 6343.825 6300.152 6314.329 6304.043 6273.479 6286.542 6468.872 6237.286
tests/implicit_cache.scala, 3216, 2017-10-01T08:18:38Z, be01457, 139.2055, Sun Oct  1 10:47:25 CEST 2017, 2961.984 576.638 492.331 344.991 340.845 281.124 200.871 192.035 211.796 208.738 , 181.311 153.353 149.726 147.778 147.522 148.398 145.226 140.473 145.364 139.155 138.835 139.256 138.332 133.411 132.901 132.611 133.028 131.586 131.080 130.985
tests/implicit-scope-loop.scala, 3216, 2017-10-01T08:18:38Z, be01457, 143.7175, Sun Oct  1 10:48:03 CEST 2017, 3060.988 594.455 505.068 462.161 384.132 245.408 254.679 230.104 193.365 188.239 , 174.105 188.558 157.054 151.393 159.324 147.673 148.098 145.002 147.351 140.565 141.193 143.615 143.820 137.880 136.865 137.078 136.074 134.600 135.677 134.951
tests/i1535.scala, 3216, 2017-10-01T08:18:38Z, be01457, 180.134, Sun Oct  1 10:48:42 CEST 2017, 3649.594 936.628 723.855 634.141 453.818 346.881 439.761 390.983 352.870 258.125 , 241.450 218.957 201.977 197.532 185.808 181.118 181.720 180.324 178.291 190.269 184.149 179.837 179.944 173.541 175.681 172.494 173.024 179.160 177.555 171.596
tests/i1687.scala, 3216, 2017-10-01T08:18:38Z, be01457, 120.543, Sun Oct  1 10:49:18 CEST 2017, 2873.340 569.939 422.941 354.926 330.174 219.081 215.229 167.640 162.575 143.738 , 137.615 131.880 132.885 129.236 126.277 122.434 123.186 121.253 138.103 119.833 127.601 117.234 117.569 117.176 116.768 115.348 114.730 116.511 115.818 116.249
tests/Vector.scala, 3216, 2017-10-01T08:18:38Z, be01457, 652.714, Sun Oct  1 10:53:12 CEST 2017, 7165.246 2129.922 1909.117 2011.656 1840.867 1826.306 1722.904 1379.479 1469.247 924.435 834.701 1102.441 885.194 768.386 756.180 726.069 708.201 691.414 688.761 680.881 7421.317 3040.879 2271.019 2030.683 1678.797 1209.861 1315.929 1108.507 1359.863 1158.386 894.578 831.336 799.091 788.422 837.934 728.284 718.192 709.465 688.483 683.248 7613.672 2248.547 1823.225 1551.245 1443.864 1320.947 1285.428 1623.669 1277.740 1026.085 1136.477 1357.172 1121.543 867.634 881.383 785.374 755.971 754.999 777.552 775.978 , 672.173 675.512 694.904 670.140 665.671 660.568 646.861 665.816 825.050 702.425 628.102 632.375 629.643 627.668 626.423 632.800 624.773 628.894 615.910 619.736 613.900 612.973 608.053 620.839 611.096 617.382 605.955 648.645 644.452 663.159 687.645 677.138 668.124 685.603 699.099 665.637 678.936 677.792 656.421 663.040 653.100 639.744 640.476 636.478 640.503 692.456 642.816 727.906 639.584 630.587 624.658 644.078 626.794 634.473 633.463 628.873 618.501 627.018 631.977 622.386 734.891 703.691 708.333 711.199 697.244 825.672 722.995 681.594 678.348 666.689 668.290 667.765 679.162 688.108 655.128 654.780 653.871 651.347 680.624 665.095 658.461 651.178 642.922 638.885 642.056 685.926 643.085 644.401 670.695 652.328
tests/empty-class.scala, 3216, 2017-10-01T08:18:38Z, be01457, 97.0355, Sun Oct  1 10:53:47 CEST 2017, 2785.819 385.303 282.016 198.797 169.814 151.750 192.164 132.518 123.734 103.967 , 101.516 100.388 97.906 97.844 97.329 98.152 97.022 95.740 96.859 97.675 95.170 97.049 100.201 92.820 92.377 92.292 93.246 91.803 97.512 91.861
tests/empty-object.scala, 3216, 2017-10-01T08:18:38Z, be01457, 96.2465, Sun Oct  1 10:54:23 CEST 2017, 2557.538 434.642 315.961 289.072 189.773 168.555 145.590 149.506 110.517 105.205 , 104.100 102.357 102.838 116.333 98.076 97.334 98.711 95.194 96.552 95.941 94.089 94.304 94.180 106.701 92.897 93.238 97.212 95.679 95.918 95.200
tests/empty-file.scala, 3216, 2017-10-01T08:18:38Z, be01457, 80.591, Sun Oct  1 10:54:57 CEST 2017, 2210.143 360.030 278.528 241.705 200.337 144.771 120.440 142.798 125.504 101.146 , 84.400 81.810 82.024 80.860 80.690 81.183 80.492 81.137 80.952 80.049 94.138 92.514 78.586 79.299 77.328 77.844 77.045 77.001 77.374 76.752
tests/patmatexhaust.scala, 3216, 2017-10-01T08:18:38Z, be01457, 350.9645, Sun Oct  1 10:58:56 CEST 2017, 5735.758 1816.847 1734.044 1446.494 1035.674 944.606 846.682 671.698 750.198 865.073 790.837 751.058 542.037 486.349 447.792 542.395 583.032 430.411 400.849 430.172 5370.251 2171.043 1767.683 1289.840 1301.232 1059.244 870.353 991.542 770.912 594.771 783.912 542.397 569.182 642.638 485.067 578.784 509.108 424.573 529.439 549.148 5927.369 1903.806 1642.590 1236.888 1131.154 957.612 845.190 886.159 695.552 602.872 763.236 524.303 543.004 546.275 474.814 467.013 422.772 404.803 504.451 445.152 , 390.994 389.081 379.848 377.579 406.356 436.180 390.640 418.867 425.457 372.687 364.583 362.315 348.072 347.817 348.427 347.393 358.451 344.355 342.604 339.733 341.626 339.122 344.558 344.040 348.828 348.236 335.051 336.378 357.452 340.257 333.062 331.669 334.550 331.373 338.686 321.186 321.250 320.370 320.031 325.096 439.627 515.031 460.314 384.615 401.923 402.213 381.495 448.589 369.887 364.858 362.473 398.964 399.787 405.229 348.250 394.196 393.088 356.551 351.157 340.873 350.772 364.157 348.922 359.955 395.336 365.312 329.782 330.857 329.829 340.613 330.951 332.599 354.768 323.690 327.139 327.668 323.215 319.501 332.990 322.297 406.514 385.463 381.980 387.969 377.720 374.527 367.914 378.762 392.208 370.584 361.907 355.618 351.960 350.633 353.528 369.304 347.310 353.018 361.478 354.904 349.472 348.609 346.663 356.944 346.891 340.814 397.164 406.008 363.450 341.236 333.228 328.965 324.243 322.307 330.737 325.324 322.409 325.384 316.423 369.553
