dotty, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 35878.363, Thu Oct  5 02:28:20 CEST 2017, 77162.472 43086.779 38602.758 37773.422 37016.662 37169.120 36212.403 36211.975 36359.102 36238.322 , 36500.930 35921.680 36028.035 36455.361 36799.224 35695.539 35708.841 36188.701 36825.268 35377.428 35835.046 36327.559 36596.808 35162.640 35455.329 35746.133 36464.850 35140.034 35509.977 35684.107
tests/scala-library, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 5985.6455, Thu Oct  5 02:31:54 CEST 2017, 23573.602 12411.555 8629.637 7869.027 7039.372 6727.638 6474.791 6370.791 6296.942 6581.687 , 6760.690 6172.448 6269.005 6084.952 6097.502 6032.184 6005.566 5993.402 6008.216 5977.889 5968.402 6035.502 5972.590 5915.295 5952.903 5949.749 5915.869 5924.586 5922.408 5915.600
tests/implicit_cache.scala, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 119.911, Thu Oct  5 02:32:30 CEST 2017, 3062.489 528.751 591.136 405.008 337.237 302.859 251.916 169.204 151.024 148.337 , 138.746 131.806 132.223 129.126 127.722 127.395 122.031 126.009 120.580 119.242 122.792 115.494 118.193 116.129 116.409 115.181 113.140 117.504 115.901 114.919
tests/implicit-scope-loop.scala, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 126.271, Thu Oct  5 02:33:07 CEST 2017, 2960.010 544.002 616.406 540.284 473.365 350.209 252.923 279.182 215.180 189.843 , 193.829 146.887 134.867 153.689 132.074 130.125 136.444 128.727 135.446 125.699 123.266 126.843 125.472 123.589 121.996 120.611 122.197 119.568 119.576 122.843
tests/i1535.scala, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 152.5785, Thu Oct  5 02:33:44 CEST 2017, 3316.638 1036.012 715.165 453.124 411.981 425.178 302.637 221.552 207.509 244.141 , 213.688 172.563 161.790 159.243 161.666 156.387 156.781 159.915 152.390 151.312 152.767 146.673 146.118 151.668 148.940 142.585 144.416 140.548 141.082 170.812
tests/i1687.scala, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 98.3445, Thu Oct  5 02:34:20 CEST 2017, 2657.908 621.491 509.299 436.607 285.626 263.487 163.535 160.815 119.984 120.470 , 112.022 113.447 108.158 105.269 103.118 101.650 103.930 112.051 98.660 104.287 98.029 96.866 94.961 94.175 97.318 95.093 97.534 95.294 94.639 95.411
tests/Vector.scala, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 597.4065, Thu Oct  5 02:38:01 CEST 2017, 7294.431 2663.160 1911.837 1617.805 1433.239 1763.887 1616.113 1068.889 1368.277 1146.801 867.874 1081.548 770.558 776.554 717.573 689.875 674.011 657.365 649.716 647.167 6463.193 2124.505 1872.611 1447.261 1360.623 1330.304 1250.000 1122.965 1202.412 1099.291 1006.833 899.831 1106.193 831.781 890.369 748.921 773.555 701.151 687.499 752.614 7811.783 3121.952 2296.561 2083.884 1885.451 1466.238 1228.766 1101.647 1019.264 1309.211 1350.059 1047.638 770.272 784.826 855.863 667.296 660.366 665.326 644.091 638.836 , 623.934 678.434 632.718 626.396 741.802 639.828 619.365 601.461 618.004 610.209 587.305 621.865 600.155 582.845 577.193 593.750 605.627 583.272 597.800 572.803 565.158 571.855 587.125 593.089 568.949 573.684 563.448 566.922 579.534 570.625 771.505 660.848 661.524 762.093 901.091 626.594 634.775 624.895 622.757 623.869 606.853 598.469 596.770 630.977 599.511 590.515 604.466 590.215 597.598 597.215 628.443 602.226 604.928 614.650 593.200 581.734 583.827 575.846 576.644 582.841 650.506 621.924 635.533 626.437 632.041 606.103 602.755 611.291 596.988 590.812 591.687 607.678 588.119 584.681 599.226 609.857 585.605 583.670 597.213 576.692 577.517 583.851 570.985 573.241 582.495 585.707 566.135 565.822 581.981 568.300
tests/empty-class.scala, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 78.6205, Thu Oct  5 02:38:36 CEST 2017, 2361.264 308.027 229.241 191.836 188.709 171.565 125.930 154.054 113.193 87.134 , 88.098 81.817 81.437 79.908 81.302 78.285 79.713 78.579 78.662 79.454 77.312 78.809 75.675 78.862 76.291 76.533 75.010 78.430 74.742 75.763
tests/empty-object.scala, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 78.568, Thu Oct  5 02:39:11 CEST 2017, 2348.508 351.778 316.924 212.964 189.118 150.983 130.594 126.321 103.907 87.483 , 85.814 83.490 87.177 82.023 81.821 81.148 80.220 81.747 78.455 78.479 78.052 78.998 76.883 78.051 78.657 77.518 75.673 78.184 75.144 77.401
tests/empty-file.scala, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 62.3, Thu Oct  5 02:39:45 CEST 2017, 1974.065 259.861 174.882 213.917 180.218 153.765 133.130 111.382 93.944 67.806 , 72.736 65.608 64.758 62.566 63.501 63.317 61.283 62.306 61.155 61.503 60.307 62.319 60.084 62.294 61.550 59.721 62.653 60.605 61.334 64.704
tests/patmatexhaust.scala, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 324.3865, Thu Oct  5 02:43:50 CEST 2017, 6204.312 2278.981 1776.575 1531.954 1380.380 1079.044 893.439 1015.212 944.595 757.186 569.578 651.556 696.040 516.085 616.156 574.373 429.078 388.918 400.742 410.652 5763.694 1681.134 1776.734 1320.047 1138.518 924.656 773.453 666.425 776.188 641.235 487.108 461.127 505.400 438.051 433.224 417.471 408.192 402.125 380.414 379.634 5932.634 1872.440 1817.949 1519.337 1241.977 1115.484 915.058 862.176 919.674 697.667 670.912 532.895 655.606 636.113 535.265 470.614 404.489 393.061 393.042 405.788 , 362.489 366.158 404.133 348.516 346.937 349.819 353.265 340.778 342.685 335.028 326.754 340.694 328.479 324.730 326.240 334.829 319.490 322.566 325.896 317.941 318.188 323.755 309.711 320.477 311.379 311.815 314.160 309.231 303.508 311.902 310.976 301.657 307.338 300.082 306.862 319.217 295.456 300.925 296.317 296.668 375.507 374.437 362.457 357.563 363.792 348.218 367.027 354.252 378.408 357.881 337.651 338.509 389.964 389.515 327.288 324.410 319.954 321.900 312.465 318.141 320.046 323.368 311.770 351.540 365.166 328.514 317.277 306.949 303.795 317.866 300.881 301.297 305.981 297.176 310.448 297.105 296.327 308.876 306.308 305.305 382.374 372.539 393.085 383.911 357.423 395.169 371.617 459.632 385.082 405.314 340.133 344.838 335.007 333.934 332.365 330.901 333.753 326.974 325.947 328.091 322.174 325.329 324.363 314.645 324.826 324.931 313.026 323.659 317.324 316.763 326.251 311.081 310.194 315.787 305.824 318.584 302.904 302.332 308.076 302.627
tests/exhaustivity-I.scala, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 188.5225, Thu Oct  5 02:47:26 CEST 2017, 3883.307 1426.543 1119.279 810.904 634.106 511.863 492.776 479.828 430.557 294.928 314.976 267.801 359.112 301.586 237.373 233.553 229.957 229.192 248.937 217.176 3969.429 1173.110 850.551 646.371 567.674 503.485 575.495 577.053 542.760 479.385 432.416 301.239 277.836 250.341 267.665 245.978 238.014 255.045 228.709 228.470 3899.761 1512.431 1011.455 870.315 657.789 575.917 469.837 356.086 322.681 311.870 379.838 266.188 257.741 261.055 304.779 263.470 227.693 215.470 211.133 210.447 , 206.957 201.920 252.877 200.301 199.039 204.822 193.761 197.296 226.784 196.715 194.462 203.325 192.177 188.095 187.036 190.426 187.666 192.707 188.893 187.480 189.190 184.678 185.586 186.045 186.422 179.858 179.953 183.408 177.510 179.759 176.685 179.127 179.945 177.043 177.892 175.810 175.118 177.259 175.117 177.062 219.802 237.514 235.489 209.056 206.284 204.806 202.303 202.662 203.289 198.500 200.278 198.460 197.587 206.844 198.801 191.544 196.676 189.207 193.000 188.501 188.959 195.130 188.707 189.953 186.627 188.171 188.544 187.742 191.919 185.508 211.914 228.141 183.193 181.978 206.477 185.714 183.729 180.837 178.505 181.171 204.244 201.208 267.604 218.565 197.165 198.134 191.808 193.100 192.811 189.623 189.086 186.240 187.915 183.267 186.955 183.343 183.208 193.900 186.767 187.307 182.093 217.859 216.875 177.642 178.583 186.741 177.651 182.360 175.136 173.248 177.155 202.774 181.000 176.934 173.528 176.248 173.180 175.877 172.730 172.688
tests/exhaustivity-S.scala, 3257, 2017-10-05T00:05:19Z, 0b1b4b2, 296.6655, Thu Oct  5 02:51:10 CEST 2017, 4011.709 1132.368 1162.484 1006.303 758.446 600.431 539.373 603.111 634.866 520.951 451.864 432.220 385.588 406.838 403.020 379.819 366.173 374.162 358.746 351.548 4421.493 1549.749 1038.610 707.869 718.552 540.068 462.028 416.081 364.599 420.137 452.595 351.053 337.574 309.512 301.163 297.624 297.203 294.396 292.589 292.985 4340.689 1082.722 730.329 875.501 593.276 528.679 438.069 548.556 410.859 360.146 344.869 334.079 328.963 321.090 317.878 315.810 312.940 312.393 310.152 308.218 , 377.812 368.817 357.824 351.593 353.639 387.145 357.524 342.778 347.868 359.365 353.341 350.450 338.672 337.306 335.397 341.235 333.567 333.577 333.769 333.258 331.142 334.926 339.016 331.894 334.245 335.496 328.014 328.463 332.493 326.829 332.709 333.564 334.427 335.382 327.623 327.879 326.576 323.969 323.778 324.137 290.389 295.368 288.816 291.370 287.771 284.036 283.127 279.365 279.914 280.491 277.233 282.135 283.489 276.222 276.130 275.641 305.476 351.379 282.348 314.090 275.667 273.638 273.443 273.981 272.324 273.349 271.158 272.298 271.876 270.876 270.962 272.398 271.669 273.082 270.494 276.866 274.449 271.687 270.193 278.519 307.011 309.385 311.622 301.379 301.267 301.395 299.230 299.717 300.540 296.068 296.050 296.624 293.107 292.502 300.699 314.736 321.855 291.958 296.707 296.571 294.941 294.272 302.097 306.845 288.679 286.167 303.667 311.413 290.171 292.186 287.516 287.377 290.369 288.621 285.739 285.217 286.885 284.981 284.409 284.200
