dotty, 3276, 2017-10-06T18:23:48Z, f49e653, 35435.587, Fri Oct  6 20:46:48 CEST 2017, 81410.584 41485.502 37489.960 37008.853 36796.510 36633.785 35887.634 35874.501 36058.393 36787.387 , 35642.261 35604.528 35632.351 36590.025 35244.139 35506.604 35508.226 36708.644 35364.570 35233.280 35131.625 36360.193 35000.299 35327.361 34995.048 36196.542 35006.719 35061.173 35097.898 36943.811
tests/scala-library, 3276, 2017-10-06T18:23:48Z, f49e653, 5866.395, Fri Oct  6 20:50:18 CEST 2017, 26386.499 10776.915 8534.620 6978.403 6594.766 6386.051 6132.168 6107.511 6132.645 6108.920 , 6096.845 5956.948 5912.634 5892.409 5898.752 5987.557 5903.058 5809.012 5823.513 5868.645 5819.881 5921.058 5797.960 5809.871 5816.969 6003.578 5812.041 5732.172 5821.001 5864.145
tests/implicit_cache.scala, 3276, 2017-10-06T18:23:48Z, f49e653, 115.517, Fri Oct  6 20:50:54 CEST 2017, 2912.538 555.032 502.840 382.732 277.811 221.186 193.918 158.626 174.569 142.033 , 132.412 132.665 129.406 123.999 124.847 120.234 123.474 126.888 115.347 118.953 112.628 115.687 112.398 112.914 110.775 111.452 110.598 109.411 113.703 108.964
tests/implicit-scope-loop.scala, 3276, 2017-10-06T18:23:48Z, f49e653, 121.6535, Fri Oct  6 20:51:33 CEST 2017, 2884.875 544.361 504.955 432.976 309.749 268.188 194.053 176.841 150.262 147.355 , 140.969 136.996 131.407 129.448 128.350 123.870 126.558 121.780 121.527 123.139 121.159 121.335 120.371 125.709 119.444 113.786 116.207 115.661 119.070 112.926
tests/i1535.scala, 3276, 2017-10-06T18:23:48Z, f49e653, 150.871, Fri Oct  6 20:52:12 CEST 2017, 3196.217 1074.718 679.238 511.042 357.398 297.372 371.166 342.215 298.298 261.441 , 184.248 184.357 160.081 153.831 155.100 151.443 148.066 151.426 143.594 143.523 147.417 145.785 147.662 150.913 151.782 139.468 138.787 150.587 150.829 173.030
tests/i1687.scala, 3276, 2017-10-06T18:23:48Z, f49e653, 100.098, Fri Oct  6 20:52:50 CEST 2017, 2732.346 488.416 416.885 316.380 274.317 227.443 161.419 125.472 131.230 113.156 , 114.570 111.599 105.717 112.119 103.794 111.710 103.755 101.354 114.776 99.300 100.896 96.773 94.797 96.707 98.299 94.901 96.499 93.772 98.124 96.266
tests/Vector.scala, 3276, 2017-10-06T18:23:48Z, f49e653, 595.908, Fri Oct  6 20:56:36 CEST 2017, 7455.189 2388.114 2107.285 1999.441 1828.432 1627.193 1514.840 1431.535 1084.092 847.997 792.884 767.893 727.283 715.676 687.759 681.402 657.828 644.122 650.742 646.774 6525.203 2080.142 1859.487 1611.319 1447.456 1817.753 1088.746 1306.338 1138.433 983.829 1194.110 1102.917 1056.421 858.675 840.997 729.926 794.808 706.869 690.831 678.482 7378.544 2521.769 1899.048 1580.866 1214.456 1269.522 1026.931 1387.128 1076.319 889.563 1090.793 1138.597 1004.681 921.044 919.747 820.161 659.449 648.762 642.644 628.758 , 624.728 628.266 666.097 619.978 609.838 810.279 612.458 606.234 606.407 595.662 586.118 585.283 592.465 591.436 589.977 577.246 596.998 576.606 575.282 592.090 578.644 573.641 594.841 574.703 562.290 564.511 575.159 569.044 566.960 574.770 747.426 715.092 737.745 644.913 638.684 625.715 618.624 623.517 626.203 616.797 609.373 609.056 595.052 595.930 611.855 639.066 595.886 599.744 608.074 622.552 599.458 585.828 591.960 580.117 584.440 580.264 584.399 578.859 582.865 587.750 652.076 709.957 700.543 647.564 610.423 592.888 597.131 608.208 630.245 601.788 577.298 596.227 657.415 599.234 602.090 600.215 679.214 595.344 584.298 565.473 562.401 590.923 578.563 591.041 606.285 571.963 560.791 557.150 572.166 554.620
tests/empty-class.scala, 3276, 2017-10-06T18:23:48Z, f49e653, 78.444, Fri Oct  6 20:57:12 CEST 2017, 2356.395 313.612 259.848 249.267 212.420 163.641 115.957 101.023 91.811 85.242 , 85.405 82.448 84.222 79.756 82.602 78.732 85.302 81.871 79.150 76.737 78.156 76.598 77.476 75.682 77.508 75.117 80.321 75.617 76.131 74.555
tests/empty-object.scala, 3276, 2017-10-06T18:23:48Z, f49e653, 78.289, Fri Oct  6 20:57:47 CEST 2017, 2437.022 361.471 232.900 204.595 157.953 153.564 112.113 127.551 107.693 84.408 , 86.354 81.736 86.383 80.142 81.858 79.959 85.923 80.826 80.154 78.440 77.482 78.138 75.964 77.115 77.333 77.082 75.868 76.365 75.057 76.322
tests/empty-file.scala, 3276, 2017-10-06T18:23:48Z, f49e653, 62.0965, Fri Oct  6 20:58:21 CEST 2017, 2002.947 277.014 180.556 152.654 149.140 155.275 96.142 89.341 72.366 73.635 , 65.742 64.675 62.870 63.132 62.085 63.089 62.617 61.553 62.229 60.630 62.108 60.394 62.176 60.750 61.888 62.776 60.075 61.494 60.534 61.712
tests/patmatexhaust.scala, 3276, 2017-10-06T18:23:48Z, f49e653, 312.8565, Fri Oct  6 21:02:22 CEST 2017, 5251.930 2010.682 1592.009 1102.236 918.922 1119.965 1048.465 847.611 748.835 695.276 525.521 624.645 599.079 454.593 404.532 397.170 387.094 508.072 396.985 401.807 5609.099 2220.276 1654.232 1496.945 1087.507 1190.689 1125.588 766.264 684.656 655.175 572.538 504.098 554.491 448.347 429.549 518.764 513.717 385.246 376.137 479.927 5719.409 2177.545 1638.569 1116.212 923.769 960.488 773.728 612.992 815.091 738.742 547.010 474.199 457.780 470.671 567.461 516.120 505.518 355.066 356.483 344.217 , 460.573 362.380 357.859 339.401 338.738 336.924 340.786 347.658 322.707 341.214 317.767 316.016 316.987 313.420 308.788 317.045 308.883 304.527 307.436 303.974 339.980 311.341 298.795 307.998 303.580 295.566 304.098 295.492 294.338 307.459 291.306 291.965 300.145 287.665 291.380 291.110 289.174 291.903 285.958 287.636 366.087 344.125 359.301 354.522 342.174 345.570 335.935 332.282 326.866 337.614 333.987 320.681 326.571 320.496 315.547 316.318 310.279 313.524 316.149 310.914 308.266 302.900 302.095 312.293 300.202 301.067 324.503 296.000 299.251 298.716 296.075 298.762 290.072 304.191 296.233 287.378 291.944 291.194 287.039 311.191 341.780 337.842 345.997 411.336 421.088 366.160 339.007 323.141 335.108 323.206 313.911 315.011 315.207 313.638 333.580 318.615 315.921 330.615 359.996 335.118 322.161 303.199 299.944 325.574 301.511 299.415 325.745 295.787 298.545 305.320 292.616 325.009 307.294 313.810 297.787 290.515 298.049 297.101 297.169 293.024
