dotty, 3281, 2017-10-06T20:24:16Z, c07bc84, 35845.3805, Fri Oct  6 22:47:28 CEST 2017, 78980.897 42973.624 38019.986 37656.009 37452.810 37328.747 36556.577 36385.353 36696.353 37377.402 , 36117.075 36034.765 36228.878 37062.188 35895.692 35795.069 36042.417 37024.828 35608.211 35728.193 35753.200 36901.944 35614.654 35509.521 35642.920 36328.045 35578.827 35601.620 35651.756 36399.210
tests/scala-library, 3281, 2017-10-06T20:24:16Z, c07bc84, 6020.577, Fri Oct  6 22:51:03 CEST 2017, 26123.786 11258.376 7971.499 7139.924 6875.055 6673.734 6466.993 6284.960 6244.017 6177.821 , 6272.255 6136.607 6190.358 6434.015 6071.670 6031.109 6048.731 6002.602 5993.455 6003.484 5972.802 6052.026 6019.421 6155.264 5957.807 5924.964 5970.626 6021.733 6013.638 5889.331
tests/implicit_cache.scala, 3281, 2017-10-06T20:24:16Z, c07bc84, 116.823, Fri Oct  6 22:51:39 CEST 2017, 2845.888 667.602 527.092 359.481 288.908 233.493 170.824 148.825 141.063 137.561 , 131.010 130.225 133.776 135.868 122.394 117.467 117.625 114.876 116.179 114.070 117.561 125.710 110.608 111.249 120.876 112.959 110.151 108.258 110.320 108.534
tests/implicit-scope-loop.scala, 3281, 2017-10-06T20:24:16Z, c07bc84, 120.8895, Fri Oct  6 22:52:15 CEST 2017, 2886.274 629.518 589.187 481.445 403.328 303.305 208.857 203.090 169.297 171.402 , 186.751 134.789 133.572 128.818 131.560 130.301 123.095 129.469 120.098 121.681 121.733 118.681 118.561 115.834 118.172 116.605 115.800 115.738 114.926 117.470
tests/i1535.scala, 3281, 2017-10-06T20:24:16Z, c07bc84, 150.8985, Fri Oct  6 22:52:53 CEST 2017, 3364.841 704.216 617.478 447.427 455.168 313.704 341.750 225.930 257.349 252.891 , 225.181 192.756 164.911 160.144 160.184 155.960 185.616 156.234 151.112 152.926 150.656 144.793 145.347 149.165 150.685 144.296 144.524 141.145 139.083 143.050
tests/i1687.scala, 3281, 2017-10-06T20:24:16Z, c07bc84, 100.0455, Fri Oct  6 22:53:29 CEST 2017, 2618.856 451.927 442.971 359.183 247.378 195.245 172.196 143.990 144.116 116.076 , 108.611 112.354 104.577 105.707 104.657 100.615 102.675 99.476 99.335 97.686 96.466 98.040 95.712 96.732 95.344 99.307 100.928 106.551 101.046 96.489
tests/Vector.scala, 3281, 2017-10-06T20:24:16Z, c07bc84, 589.2035, Fri Oct  6 22:57:11 CEST 2017, 7304.579 2305.494 1861.498 1443.383 1338.419 1258.306 1256.059 1392.903 883.501 1007.882 1182.151 780.591 744.612 848.147 685.654 681.324 671.629 808.116 805.757 751.127 7793.874 2167.813 1729.045 1473.858 1341.337 1767.749 1221.466 1139.471 1039.751 860.321 799.013 811.921 734.471 884.966 667.477 753.714 677.346 626.637 622.014 627.988 7545.169 2852.900 2216.393 1544.373 1312.893 1289.528 1067.430 1175.936 1175.623 815.590 830.391 732.012 692.050 814.713 762.150 653.047 637.940 654.738 628.064 630.467 , 682.290 712.849 803.694 769.834 664.148 675.879 702.356 741.195 595.125 587.577 613.167 605.622 599.710 680.832 650.446 601.713 586.932 623.798 586.476 570.767 579.646 571.082 572.997 576.552 579.922 563.645 564.519 581.890 562.079 563.347 619.080 623.420 687.405 632.396 648.637 651.351 744.687 792.962 788.287 621.765 603.516 580.270 581.718 591.010 586.958 575.547 577.191 581.878 564.847 561.129 571.721 569.049 615.598 564.670 574.125 561.347 559.668 569.879 555.742 557.136 639.572 607.782 605.928 674.954 630.792 599.239 652.353 590.982 590.830 585.803 600.745 583.799 599.186 657.547 618.158 574.129 579.354 581.514 573.382 567.997 578.307 568.716 570.340 693.561 572.019 556.399 560.062 614.506 610.441 558.111
tests/empty-class.scala, 3281, 2017-10-06T20:24:16Z, c07bc84, 77.817, Fri Oct  6 22:57:46 CEST 2017, 2375.674 312.828 314.554 264.894 236.502 157.505 129.070 95.432 93.422 87.601 , 91.286 82.632 81.418 78.989 80.574 77.775 79.128 76.562 80.510 75.603 77.946 76.653 76.363 74.549 76.202 73.966 74.965 77.859 79.750 73.533
tests/empty-object.scala, 3281, 2017-10-06T20:24:16Z, c07bc84, 79.0465, Fri Oct  6 22:58:21 CEST 2017, 2414.275 337.502 359.946 280.182 239.773 196.703 135.558 121.166 112.939 91.131 , 85.996 85.064 82.482 83.772 80.314 82.849 83.950 80.131 78.536 81.121 77.505 79.557 76.348 77.874 76.724 77.168 74.890 76.628 74.725 75.631
tests/empty-file.scala, 3281, 2017-10-06T20:24:16Z, c07bc84, 62.9395, Fri Oct  6 22:58:55 CEST 2017, 1937.976 254.572 201.887 197.228 182.490 155.602 126.501 79.528 79.620 68.452 , 67.662 64.761 63.005 64.483 62.416 64.053 61.788 63.216 61.585 63.491 64.558 63.718 62.874 61.199 63.453 60.737 61.980 60.242 61.618 60.079
tests/patmatexhaust.scala, 3281, 2017-10-06T20:24:16Z, c07bc84, 313.925, Fri Oct  6 23:02:54 CEST 2017, 5313.993 2153.624 1455.199 1094.051 1053.901 943.764 754.325 732.183 696.111 712.171 557.556 554.703 492.950 459.296 400.691 388.762 407.936 380.496 352.546 357.561 5309.933 2215.714 1301.349 1085.056 1022.930 1164.214 1038.232 941.113 611.351 777.603 716.490 694.637 466.415 417.943 401.840 395.631 401.144 380.017 365.115 359.240 5753.214 1997.293 1710.127 1519.225 1115.418 805.857 800.701 618.185 570.353 535.132 508.082 480.818 453.453 431.925 428.437 403.196 397.784 447.038 375.090 364.136 , 345.245 352.176 336.936 334.660 340.699 384.091 348.432 333.719 331.702 324.967 317.255 321.283 316.507 310.947 317.223 308.277 309.920 315.052 314.786 308.215 298.243 300.029 306.772 309.319 297.034 302.672 294.553 296.454 303.317 295.463 293.117 298.941 293.193 299.737 288.331 289.552 313.703 289.733 287.456 293.401 352.183 370.319 366.095 348.187 351.333 390.735 337.909 337.294 348.436 336.126 341.545 339.914 330.542 329.651 324.135 322.724 317.075 312.261 318.439 313.944 316.845 306.511 307.275 345.092 357.100 303.924 309.855 301.464 301.391 313.906 300.475 302.813 303.743 301.863 375.665 317.341 296.892 359.330 309.951 306.774 409.605 356.052 347.354 342.996 341.650 327.836 348.088 334.894 372.607 326.889 316.203 313.645 312.231 317.100 311.086 315.914 315.459 313.164 334.883 314.099 305.256 320.972 319.016 299.493 301.468 299.749 296.748 300.191 301.166 293.680 296.038 298.733 343.713 286.024 287.333 306.837 286.932 286.850 293.165 286.622
