dotty, 3303, 2017-10-10T18:17:04Z, adfd8a2, 34905.8965, Tue Oct 10 20:39:43 CEST 2017, 76548.966 40981.414 36651.831 36400.036 36407.671 36217.598 35238.025 35206.629 35387.178 36265.442 , 34893.967 34959.840 35146.871 36316.008 34769.290 34917.826 35105.320 35661.319 34586.828 34599.518 34828.993 35464.206 34318.425 34327.567 34957.423 35287.932 34416.069 34394.890 34706.397 35104.922
tests/scala-library, 3303, 2017-10-10T18:17:04Z, adfd8a2, 5764.965, Tue Oct 10 20:43:10 CEST 2017, 25272.271 11289.876 8719.381 7194.183 6450.287 6231.029 6124.716 6477.730 6037.472 5941.592 , 5956.869 5868.424 5829.196 5813.400 5853.921 5798.452 5830.869 5789.807 5774.910 5741.253 5755.020 5778.516 5717.358 5721.652 5700.677 5696.961 5701.541 5674.776 5672.061 5729.272
tests/implicit_cache.scala, 3303, 2017-10-10T18:17:04Z, adfd8a2, 115.8435, Tue Oct 10 20:43:46 CEST 2017, 2812.338 637.612 561.063 452.689 365.141 271.582 219.464 159.181 158.043 138.568 , 134.191 129.060 129.955 122.951 123.531 119.343 123.136 117.594 116.156 121.169 113.926 115.531 112.687 114.037 114.285 113.694 114.384 110.631 113.170 114.706
tests/implicit-scope-loop.scala, 3303, 2017-10-10T18:17:04Z, adfd8a2, 125.1935, Tue Oct 10 20:44:23 CEST 2017, 2937.266 702.070 581.360 401.068 316.598 212.140 183.410 164.005 148.720 177.732 , 144.938 142.195 132.011 131.695 129.120 130.865 126.712 121.820 122.669 123.675 133.182 121.195 145.382 139.531 123.165 116.946 117.117 115.154 116.899 122.153
tests/i1535.scala, 3303, 2017-10-10T18:17:04Z, adfd8a2, 147.837, Tue Oct 10 20:45:00 CEST 2017, 3310.482 737.422 698.409 534.335 384.044 287.146 262.288 270.397 262.719 204.287 , 246.875 169.833 168.615 155.736 157.100 153.760 150.222 151.411 147.883 147.791 149.924 143.757 144.534 146.258 143.712 140.657 141.545 137.921 138.970 137.437
tests/i1687.scala, 3303, 2017-10-10T18:17:04Z, adfd8a2, 100.201, Tue Oct 10 20:45:36 CEST 2017, 2849.409 631.040 360.321 287.058 239.926 242.747 231.441 204.168 186.456 176.228 , 144.050 107.970 107.006 104.700 107.246 103.531 106.036 102.395 99.801 100.601 99.330 98.795 99.577 96.787 102.916 96.409 97.598 95.502 96.319 95.449
tests/Vector.scala, 3303, 2017-10-10T18:17:04Z, adfd8a2, 575.728, Tue Oct 10 20:49:15 CEST 2017, 7205.755 2710.502 2255.012 1370.120 1359.844 1554.232 1520.484 1431.072 1337.277 1364.641 1277.183 841.526 801.935 721.329 1071.560 716.396 656.911 649.426 725.811 622.498 6660.419 2098.556 1911.085 1398.981 1870.915 1089.250 1107.717 1343.940 1465.841 1079.338 918.021 870.030 818.472 731.728 702.795 707.790 683.051 741.314 832.736 640.722 7930.876 3080.028 2379.047 2044.938 1810.364 1669.124 1253.556 853.843 803.165 741.893 711.664 696.029 661.916 648.992 652.929 634.599 626.094 627.244 622.053 778.845 , 616.171 637.530 609.245 597.030 599.837 589.289 581.143 581.919 586.400 577.551 570.978 575.099 563.277 570.426 562.554 573.577 560.344 561.949 573.928 564.992 548.815 547.989 559.112 582.703 662.419 555.875 538.797 542.662 545.698 556.498 623.460 631.599 635.594 623.572 607.753 614.228 602.088 593.036 599.190 588.719 596.150 585.520 585.565 580.523 574.596 590.955 576.357 583.588 578.282 569.889 565.431 565.700 578.834 578.790 565.959 566.010 574.734 560.505 611.622 555.272 833.301 840.582 717.312 603.120 598.759 584.178 580.476 631.535 580.860 583.621 608.651 593.814 566.418 563.755 567.529 570.172 561.717 565.679 556.129 554.336 569.244 560.464 563.564 565.687 555.050 554.365 554.365 560.462 549.801 546.893
tests/empty-class.scala, 3303, 2017-10-10T18:17:04Z, adfd8a2, 77.046, Tue Oct 10 20:49:49 CEST 2017, 2336.216 313.913 218.329 234.700 185.186 125.481 95.111 88.095 84.063 82.276 , 80.396 80.398 78.344 86.806 82.102 77.407 75.462 80.092 77.973 81.088 76.831 77.261 73.865 75.506 75.599 74.265 73.158 74.194 72.907 73.222
tests/empty-object.scala, 3303, 2017-10-10T18:17:04Z, adfd8a2, 80.577, Tue Oct 10 20:50:24 CEST 2017, 2435.855 349.229 251.424 272.334 234.009 182.382 134.291 118.431 90.246 96.781 , 91.534 82.635 83.861 88.779 82.643 80.686 80.175 80.468 81.402 79.519 79.742 78.442 75.863 77.327 76.900 76.722 80.712 88.838 75.165 86.917
tests/empty-file.scala, 3303, 2017-10-10T18:17:04Z, adfd8a2, 61.222, Tue Oct 10 20:50:58 CEST 2017, 2029.983 268.494 173.902 138.987 120.179 91.807 79.184 94.657 68.282 66.462 , 68.337 69.410 65.418 62.396 63.987 61.589 62.683 61.094 62.218 60.690 61.946 61.330 59.953 61.045 59.572 61.114 59.405 60.964 59.261 61.113
tests/patmatexhaust.scala, 3303, 2017-10-10T18:17:04Z, adfd8a2, 313.556, Tue Oct 10 20:54:51 CEST 2017, 5108.300 1647.375 1491.592 1243.583 1258.875 1005.263 722.532 655.423 570.421 535.637 518.975 573.026 567.076 668.857 503.218 489.517 580.914 541.331 413.251 419.940 5435.192 1724.076 1736.859 1407.933 1058.499 869.217 1025.484 695.823 606.896 556.111 674.394 508.288 654.070 650.949 453.222 414.816 401.776 441.877 456.668 363.341 5078.394 2157.257 1287.361 1306.095 1168.447 1116.648 1076.951 862.099 656.269 611.415 518.449 509.540 508.118 465.060 538.182 516.271 431.158 430.475 371.520 437.515 , 384.425 376.714 412.214 368.173 359.317 354.053 348.865 436.737 396.414 336.927 338.580 334.426 330.088 330.446 364.579 338.423 358.938 361.641 312.861 311.811 313.546 326.444 313.537 333.628 303.473 311.978 314.328 311.002 334.416 320.166 294.260 304.275 299.309 306.108 303.029 298.095 313.923 305.442 293.800 293.239 363.209 352.870 357.556 352.006 347.346 340.984 347.544 334.765 332.683 333.552 324.906 317.183 322.431 316.836 313.358 321.870 316.249 312.814 307.929 314.940 318.028 301.054 305.552 313.437 305.595 300.186 307.050 297.647 306.044 303.916 296.028 309.413 304.378 301.887 359.672 290.076 292.311 296.188 289.015 290.156 356.919 353.417 347.236 350.800 336.093 342.100 345.178 328.904 398.149 439.736 385.249 397.815 313.566 324.628 360.950 313.974 313.040 303.598 301.887 309.117 309.500 313.749 297.665 301.399 306.681 297.625 294.809 299.224 292.289 291.504 302.045 290.248 296.326 300.979 289.884 295.536 284.695 303.210 294.055 287.424
