dotty, 3375, 2017-10-24T14:14:27Z, bf80d6b, 33251.0195, Tue Oct 24 16:36:08 CEST 2017, 75974.162 41038.519 36093.313 35086.232 34548.548 34701.276 33579.943 33435.529 33703.189 33832.728 , 34122.897 33200.797 33334.540 34022.638 34246.980 33145.990 33195.776 33410.901 34475.786 32868.666 32797.613 33301.242 34200.083 32601.321 32828.021 33339.556 33978.028 32803.897 32786.077 33079.191
tests/scala-library, 3375, 2017-10-24T14:14:27Z, bf80d6b, 5834.072, Tue Oct 24 16:39:39 CEST 2017, 25393.891 11068.821 9294.925 7518.169 6738.403 6472.241 6459.856 6145.985 6134.378 6060.089 , 6003.226 6007.235 5959.271 5910.883 5872.915 5850.727 5848.788 5808.093 5832.927 5835.217 5804.975 5835.551 6332.708 5759.134 5750.711 5739.844 5767.568 5742.734 5815.093 5770.328
tests/implicit_cache.scala, 3375, 2017-10-24T14:14:27Z, bf80d6b, 119.3775, Tue Oct 24 16:40:15 CEST 2017, 2743.943 600.155 467.626 418.976 305.380 235.543 183.603 201.164 149.600 152.923 , 131.990 131.651 126.897 126.358 125.674 120.746 120.986 118.324 119.443 130.657 119.312 120.076 113.591 114.397 114.989 113.725 111.652 113.744 111.273 110.016
tests/implicit-scope-loop.scala, 3375, 2017-10-24T14:14:27Z, bf80d6b, 120.311, Tue Oct 24 16:40:51 CEST 2017, 2861.364 593.717 502.040 413.749 276.463 255.866 210.381 165.388 147.453 152.078 , 136.246 135.290 131.161 126.609 127.275 125.034 125.125 120.878 124.047 121.455 119.465 119.744 116.099 118.559 115.046 116.238 113.124 113.930 115.461 114.740
tests/i1535.scala, 3375, 2017-10-24T14:14:27Z, bf80d6b, 154.829, Tue Oct 24 16:41:28 CEST 2017, 3497.225 749.843 632.619 544.379 516.005 358.830 269.106 233.643 208.752 272.151 , 211.598 183.143 173.950 165.695 168.226 156.189 154.213 174.758 164.355 159.944 155.445 149.795 151.278 149.242 147.364 144.419 145.805 141.136 139.891 143.432
tests/i1687.scala, 3375, 2017-10-24T14:14:27Z, bf80d6b, 94.47, Tue Oct 24 16:42:03 CEST 2017, 2672.623 630.597 420.666 346.409 265.074 162.087 171.110 134.754 118.888 108.852 , 107.346 106.587 102.876 102.850 98.176 104.796 101.549 101.618 94.916 94.024 98.315 92.954 93.616 92.121 93.866 92.590 93.407 90.267 91.790 90.978
tests/Vector.scala, 3375, 2017-10-24T14:14:27Z, bf80d6b, 568.7475, Tue Oct 24 16:45:34 CEST 2017, 7108.639 2779.173 1525.723 1359.075 1181.206 1146.052 1023.568 1189.764 1398.162 1012.684 1120.552 949.707 919.990 735.400 828.780 683.131 678.680 651.238 649.722 628.306 6379.758 1939.741 1642.839 1905.581 1698.299 1314.237 1500.867 1201.958 1181.328 1111.712 1008.398 797.037 719.073 699.366 784.649 699.088 648.739 643.924 624.986 604.794 7468.117 2615.348 1677.380 1518.391 1348.919 1241.233 1063.512 1057.928 1027.858 800.481 747.580 737.233 664.280 650.403 645.425 625.244 675.098 651.257 608.220 596.756 , 716.468 659.922 740.533 822.658 663.726 596.425 583.956 582.353 581.008 584.212 569.773 573.177 567.014 576.854 569.950 707.209 587.205 566.895 562.031 556.073 567.798 555.315 560.284 549.921 574.315 551.054 551.348 550.621 570.248 556.320 660.213 631.730 596.603 599.726 562.035 625.406 571.995 558.916 678.829 602.140 566.961 570.979 569.697 573.207 559.234 612.212 555.990 564.321 556.491 582.123 541.503 530.191 526.698 536.264 535.026 520.116 528.304 550.807 523.210 523.322 621.665 659.394 721.447 588.382 588.592 575.651 575.427 582.954 614.307 592.021 563.868 578.244 565.322 551.666 552.930 588.997 549.200 548.908 573.487 550.374 547.662 556.562 570.068 540.841 534.712 544.571 550.258 536.073 532.803 534.851
tests/empty-class.scala, 3375, 2017-10-24T14:14:27Z, bf80d6b, 79.4555, Tue Oct 24 16:46:09 CEST 2017, 2379.643 415.228 317.168 257.921 212.326 151.656 143.866 106.121 92.876 92.406 , 86.724 82.999 83.344 81.732 85.392 82.936 80.569 79.038 80.046 78.071 79.873 78.563 78.652 76.833 78.724 76.351 77.525 76.412 76.686 81.441
tests/empty-object.scala, 3375, 2017-10-24T14:14:27Z, bf80d6b, 80.3965, Tue Oct 24 16:46:44 CEST 2017, 2402.247 346.510 243.673 273.739 236.320 181.244 134.578 106.605 94.273 92.369 , 86.148 92.091 95.368 90.026 83.419 85.810 85.324 82.346 86.817 79.104 81.092 79.701 79.306 77.597 79.026 79.014 78.952 78.133 78.576 76.602
tests/empty-file.scala, 3375, 2017-10-24T14:14:27Z, bf80d6b, 62.1345, Tue Oct 24 16:47:28 CEST 2017, 1965.449 281.359 207.486 142.324 126.881 88.799 77.615 69.944 68.461 65.824 , 66.284 64.142 64.352 64.153 62.859 68.791 62.263 65.060 60.935 65.426 60.797 61.797 62.006 60.659 62.775 60.429 61.422 60.348 61.858 61.808
tests/patmatexhaust.scala, 3375, 2017-10-24T14:14:27Z, bf80d6b, 302.0025, Tue Oct 24 16:51:22 CEST 2017, 5058.274 1984.901 1298.663 1068.723 1290.759 875.168 711.437 645.297 568.921 544.527 508.724 708.846 647.829 556.318 427.906 404.089 439.741 390.453 357.124 358.343 5306.454 1607.083 1282.922 1138.907 1073.255 1075.240 938.112 832.277 588.209 484.609 544.842 627.238 584.323 572.802 451.820 396.136 389.094 384.993 343.616 347.889 4987.419 2231.899 1225.210 1402.611 1356.275 1191.788 813.557 855.327 779.198 578.126 597.145 651.441 640.268 609.847 530.774 430.830 407.498 358.302 346.575 334.499 , 352.866 345.152 341.412 410.176 475.883 462.325 358.406 354.407 360.968 389.694 358.638 319.796 307.062 307.646 316.075 299.816 300.384 300.681 296.548 304.677 310.245 309.351 308.644 303.620 310.659 302.312 296.212 305.158 295.337 346.429 287.862 298.075 307.393 283.241 287.362 288.313 280.652 280.154 285.796 280.730 395.013 348.185 338.330 328.785 341.084 350.581 327.685 314.513 316.824 318.350 303.567 312.110 319.692 301.224 300.188 303.498 293.941 294.647 302.255 290.112 294.502 310.122 305.107 288.508 294.795 284.379 288.047 291.725 283.472 288.977 279.452 277.857 317.298 279.044 275.519 284.009 275.022 275.423 281.583 273.035 340.176 327.439 320.369 325.365 316.485 338.944 320.707 313.190 301.620 314.034 392.290 403.843 340.869 311.582 301.347 306.757 303.992 293.811 298.614 301.750 288.539 287.886 293.053 288.508 284.121 308.623 302.536 282.842 294.593 282.900 288.298 282.872 276.405 283.841 274.775 275.494 283.842 274.774 273.762 281.205
