dotty, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 34483.1335, Mon Nov  6 16:16:11 CET 2017, 77039.283 42037.436 37818.748 36536.035 35959.541 36170.220 35355.246 35039.638 35239.551 37011.478 34901.593 35142.602 34916.303 35859.417 34611.229 35047.815 35495.583 35407.850 34539.567 34506.940 34554.587 35521.907 34506.066 34355.174 34505.083 35067.808 34409.550 34391.025 34476.829 35258.619 , 34459.123 34436.048 34479.746 35077.220 34344.906 34514.546 34469.768 35058.815 34373.077 34473.272 34490.528 35069.141 34347.333 34529.299 34486.521 35019.621 34377.168 34547.185 34417.324 34874.374
tests/scala-library, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 5717.6835, Mon Nov  6 16:21:52 CET 2017, 26929.548 10613.855 8951.947 7046.044 6740.219 6384.793 6207.909 6262.808 6215.314 6105.681 6039.991 5972.065 5906.004 5912.913 5934.711 5945.933 6047.307 5845.908 5880.174 5862.393 5901.879 6084.407 5878.858 5773.740 5802.617 5771.448 5755.489 5762.183 5803.091 5846.365 , 6030.558 5837.515 5792.294 5836.871 5703.359 5683.272 5734.803 5758.623 5705.688 5695.156 5684.597 5714.749 5728.045 5771.880 5704.148 5722.339 5693.368 5720.618 5713.736 5691.282
tests/implicit_cache.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 103.699, Mon Nov  6 16:23:04 CET 2017, 2848.592 738.255 541.261 417.258 284.156 201.109 178.281 151.252 148.027 134.058 128.577 128.761 122.481 136.527 130.296 116.925 125.675 115.394 117.053 114.590 121.211 114.647 112.712 114.351 108.563 111.583 112.083 107.601 111.150 110.475 , 111.263 106.621 108.588 107.696 107.275 103.586 104.960 103.134 108.936 107.013 103.701 108.651 100.749 103.542 101.899 103.697 102.875 103.197 100.692 102.619
tests/implicit-scope-loop.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 110.9335, Mon Nov  6 16:24:16 CET 2017, 2963.028 618.923 445.043 453.980 313.792 307.057 203.207 169.513 156.450 143.950 136.672 136.646 129.842 125.695 134.969 123.897 129.009 122.364 120.617 122.111 120.943 119.336 116.233 118.692 116.486 116.579 120.822 113.387 126.384 121.503 , 114.903 110.728 112.878 111.576 111.955 113.885 110.662 112.708 108.289 112.714 111.139 111.161 108.218 108.536 110.285 107.325 115.576 107.580 107.858 107.396
tests/i1535.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 131.0585, Mon Nov  6 16:25:28 CET 2017, 3547.268 711.138 511.398 412.283 436.668 317.970 291.089 295.995 261.930 221.874 178.372 162.470 160.120 161.050 156.224 154.479 155.616 151.767 150.743 160.280 146.170 155.410 146.250 146.803 145.770 143.505 139.196 140.118 146.247 147.314 , 135.510 144.884 138.687 133.394 135.512 134.800 129.905 134.151 131.209 127.866 134.015 130.394 130.945 126.602 127.425 131.172 126.413 128.377 129.225 126.563
tests/i1687.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 86.418, Mon Nov  6 16:26:39 CET 2017, 2614.036 573.734 404.633 302.054 241.178 212.649 148.718 141.205 111.785 104.756 112.432 105.682 98.016 98.241 95.805 96.139 93.720 92.865 97.653 92.126 93.504 91.022 91.694 89.355 91.583 92.360 89.842 88.724 91.365 90.383 , 88.270 88.242 88.411 89.454 85.901 86.995 85.026 87.537 85.322 87.220 84.912 85.890 86.820 85.185 87.957 88.232 86.016 83.619 85.475 85.593
tests/Vector.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 567.711, Mon Nov  6 16:30:27 CET 2017, 7852.283 2007.568 1643.489 1453.396 1826.665 1766.212 1583.055 1461.201 1376.018 1093.199 1101.969 1029.980 893.039 676.709 667.811 682.192 671.849 656.149 652.233 616.863 7646.620 2435.049 2288.093 2016.658 1254.531 1134.273 1156.611 1413.972 1203.763 1081.642 876.016 725.822 699.028 692.101 669.383 661.988 693.315 636.497 637.685 615.526 7281.981 2654.481 1973.785 1603.851 1290.131 1179.262 1193.675 1038.722 1051.325 895.514 794.523 731.803 770.704 752.613 656.822 634.827 631.021 624.905 611.935 597.255 , 610.820 634.138 601.898 653.555 599.346 630.588 588.334 578.600 574.751 583.936 573.056 566.465 571.717 564.477 564.081 594.331 567.500 561.457 555.633 551.929 562.620 615.834 573.593 550.100 561.532 541.893 542.152 559.179 544.930 540.748 630.611 613.118 616.107 606.598 602.706 586.704 584.834 592.688 570.901 672.505 567.688 567.985 561.911 553.808 559.749 563.167 563.109 556.698 602.365 582.513 565.838 644.283 585.148 578.539 540.893 537.846 551.821 565.683 583.054 629.351 620.440 586.787 613.289 660.817 578.536 573.453 568.303 595.305 577.278 555.785 556.799 565.011 551.048 546.026 558.202 552.633 545.770 539.194 551.301 547.212 567.734 548.298 544.922 612.950 525.550 526.684 630.804 529.676 524.924 527.060
tests/empty-class.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 72.099, Mon Nov  6 16:31:38 CET 2017, 2447.869 445.460 322.295 260.747 254.542 186.439 128.660 101.275 102.528 108.075 87.809 83.770 83.559 80.584 78.707 79.296 75.742 76.969 75.559 75.868 74.413 76.151 73.658 74.840 77.138 73.287 75.028 97.331 72.723 75.117 , 73.522 72.862 82.529 73.734 74.028 72.130 73.214 71.589 73.011 71.517 73.846 71.436 72.068 72.973 71.685 70.194 71.048 69.922 71.104 69.803
tests/empty-object.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 73.0965, Mon Nov  6 16:32:49 CET 2017, 2554.807 453.337 266.825 183.635 167.169 133.466 125.880 91.472 87.381 82.779 82.935 83.776 94.407 79.250 80.588 78.556 78.522 79.555 76.827 76.926 83.772 75.560 76.021 75.424 76.962 75.066 79.882 75.468 78.818 74.251 , 74.604 73.456 74.674 74.425 73.033 74.580 72.523 73.413 72.812 73.572 72.091 73.591 73.732 72.823 71.990 72.821 71.975 73.160 71.848 72.748
tests/empty-file.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 58.535, Mon Nov  6 16:33:58 CET 2017, 2014.700 257.979 178.757 152.415 144.192 170.093 146.562 100.381 81.890 68.091 65.450 61.840 64.191 62.798 60.639 62.554 60.297 61.204 59.707 60.871 59.662 60.447 60.173 58.581 59.724 58.489 59.745 58.425 59.695 59.483 , 73.396 59.305 58.352 59.395 57.740 59.701 57.687 58.698 59.213 57.678 58.629 57.449 58.559 57.510 58.511 58.638 57.521 68.469 57.080 58.089
tests/patmatexhaust.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 299.1015, Mon Nov  6 16:38:06 CET 2017, 5643.593 2093.432 1624.608 1365.477 1143.807 936.602 887.590 793.114 660.882 703.405 675.074 627.626 468.976 402.878 383.633 392.654 358.350 393.954 391.401 342.136 5350.160 2121.176 1586.529 1074.611 1031.311 1219.177 1097.821 1024.496 823.472 584.680 542.285 509.842 501.251 517.758 444.130 463.713 423.915 376.100 366.837 359.037 5705.901 2080.928 1324.478 1393.569 1235.512 1022.302 1020.014 1009.843 918.755 800.200 567.527 512.084 586.537 526.820 587.196 544.432 544.518 523.750 401.217 354.060 , 334.664 330.514 333.967 323.645 354.206 333.680 354.646 308.345 306.382 309.801 300.350 299.268 349.434 306.877 304.147 304.949 306.730 297.181 367.877 288.184 295.751 298.478 306.111 292.833 365.092 295.104 279.759 291.084 289.542 345.400 282.152 278.738 275.541 344.059 274.735 274.376 288.640 285.965 276.171 286.668 356.002 335.597 378.284 421.697 359.453 355.141 321.083 335.041 363.348 315.802 338.650 333.528 315.234 311.427 313.996 309.332 319.152 300.122 297.756 322.560 303.316 298.935 304.338 296.088 298.233 305.434 290.503 288.919 295.028 292.932 287.505 292.232 285.115 290.960 293.270 281.880 279.070 289.207 283.206 281.573 422.400 346.465 329.204 322.087 327.864 318.297 384.900 319.972 317.404 306.391 299.946 305.317 303.199 301.867 293.908 291.372 300.374 292.024 293.044 308.400 297.847 280.318 292.673 283.588 287.920 291.683 279.866 276.362 283.535 274.888 278.575 283.030 274.440 273.440 283.221 269.287 275.994 277.478 271.738 271.925
tests/exhaustivity-I.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 181.969, Mon Nov  6 16:41:55 CET 2017, 3962.669 1265.991 870.303 787.014 645.916 536.005 597.462 514.426 417.083 294.748 322.122 375.813 263.226 293.593 272.119 220.327 215.433 212.817 207.925 204.578 4055.798 1695.942 1222.047 1028.709 856.749 715.490 621.655 548.702 345.202 321.444 291.808 274.094 285.628 299.394 255.669 221.685 259.281 210.322 204.783 203.350 4097.021 1139.025 1255.770 963.647 682.616 727.086 647.379 414.959 482.185 399.145 347.621 304.607 251.522 244.816 245.227 235.745 220.749 218.973 208.017 212.100 , 203.085 195.683 198.275 193.068 189.913 194.773 189.554 190.166 184.866 181.819 185.626 184.122 183.458 185.149 182.847 187.895 183.230 185.286 191.154 182.585 182.133 176.484 178.123 180.152 174.760 178.641 174.250 180.624 175.868 172.433 176.345 171.882 171.026 171.658 171.115 170.225 173.921 169.383 172.881 173.034 202.083 224.295 207.611 203.400 195.700 187.913 189.617 184.177 190.393 183.115 193.362 185.804 180.569 184.614 181.277 181.948 209.133 230.608 238.967 237.872 246.174 191.124 180.103 174.906 179.524 179.104 175.415 175.670 172.616 175.906 175.808 172.712 187.457 171.588 170.998 171.509 172.231 171.097 169.694 169.372 205.661 200.683 200.652 191.994 190.363 193.075 188.366 213.250 193.294 186.146 186.522 181.990 194.514 184.071 180.111 183.554 182.130 180.561 183.554 179.539 180.852 174.495 195.495 217.136 180.732 176.909 171.355 171.839 173.005 172.604 180.379 186.567 172.823 170.739 167.413 168.111 171.632 169.697 169.844 167.665
tests/exhaustivity-S.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 307.7975, Mon Nov  6 16:45:59 CET 2017, 3937.608 1625.112 1109.425 744.353 549.506 523.925 420.598 445.229 411.380 419.925 353.009 329.531 325.165 323.900 319.515 331.165 309.978 307.951 307.243 304.987 4096.852 1439.370 822.213 775.077 548.971 478.601 462.326 428.682 405.684 389.093 376.102 358.127 363.830 380.550 358.964 344.405 348.068 354.374 345.673 338.473 4005.931 1148.625 778.039 702.842 629.140 660.612 472.448 378.878 378.380 358.683 345.056 341.487 338.152 374.139 347.708 330.441 326.109 323.429 320.960 354.526 , 307.797 304.292 297.416 298.111 295.737 296.194 321.205 291.814 295.862 294.460 293.783 289.658 289.624 288.847 287.939 288.109 291.768 289.294 288.160 288.091 290.520 287.522 287.064 303.647 288.492 287.533 287.909 288.557 287.032 285.343 284.845 314.611 300.131 285.904 284.828 295.151 282.977 284.753 287.562 284.801 341.645 342.741 357.519 336.096 333.475 334.019 333.560 334.275 330.783 329.621 330.774 329.743 329.766 327.656 326.015 325.414 324.628 323.485 324.397 325.291 326.878 322.483 341.068 320.901 322.203 319.436 322.587 322.798 321.301 321.227 320.875 326.908 320.367 318.805 379.020 318.844 320.589 318.531 319.189 331.178 318.310 321.785 313.391 312.195 315.252 311.542 389.605 323.596 321.592 311.485 348.933 330.171 305.390 322.563 308.127 304.402 307.798 306.191 307.971 302.122 302.259 305.329 317.308 302.301 298.843 300.254 301.339 300.642 299.530 300.948 299.072 299.578 298.588 298.400 299.926 299.608 301.096 305.050 301.631 308.525
tests/exhaustivity-T.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 869.1705, Mon Nov  6 16:51:19 CET 2017, 4973.013 2416.786 1437.268 1358.943 1430.842 1217.008 1186.968 1253.749 1517.521 1131.933 1154.725 1114.966 1090.010 1090.561 1109.353 1136.176 1029.922 1111.559 1095.085 1047.421 4745.727 1741.946 1237.045 1268.119 1437.296 1286.561 1421.783 1194.414 1143.180 983.438 916.294 1009.518 950.915 908.667 872.860 860.797 835.921 833.513 839.288 856.998 4823.877 1927.622 1265.289 1183.607 1320.513 1213.417 1105.364 1083.908 1071.882 1066.636 1048.749 961.853 1002.441 942.880 1127.756 916.449 917.475 910.715 894.639 911.230 , 1001.366 1001.643 1006.814 1003.060 991.413 982.499 987.643 984.378 975.024 977.263 971.249 981.230 969.872 967.895 963.629 986.788 963.439 962.453 964.560 960.274 968.491 984.304 1017.231 961.648 960.613 957.879 953.091 957.106 958.151 952.609 954.207 957.992 949.600 954.201 951.963 950.802 949.290 950.794 953.125 948.084 838.658 832.721 827.220 825.806 823.400 817.063 820.369 818.266 815.306 810.864 810.658 810.929 811.790 806.555 803.662 814.065 808.885 803.431 800.283 802.090 802.871 804.798 808.919 807.247 799.880 799.982 796.681 801.046 800.197 794.007 807.351 811.325 1062.161 811.960 797.214 795.994 809.782 797.028 798.112 797.112 947.755 914.285 913.786 881.766 947.726 873.746 945.817 930.153 875.365 879.240 877.606 871.158 873.881 865.153 867.200 867.451 867.445 859.380 879.747 858.174 858.459 892.182 865.931 855.129 884.797 856.055 859.095 930.314 894.639 858.669 854.607 870.890 856.237 851.987 860.881 854.672 858.382 861.219 851.510 851.213
tests/exhaustivity-V.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 1824.658, Mon Nov  6 16:57:28 CET 2017, 5370.210 2927.968 2415.265 2255.208 2463.880 2245.046 2458.673 2202.574 2062.697 2053.726 2033.887 2059.206 2002.771 1998.381 1986.705 1980.247 1985.506 1982.347 1988.153 2051.968 5609.638 3214.547 2297.807 2052.385 2363.478 2057.860 2412.393 2039.109 2022.051 2095.541 1915.780 1906.487 1887.562 1880.691 1864.684 1858.650 1852.977 1867.863 1952.976 1863.357 5111.320 2601.561 2004.844 2037.329 2317.115 1887.442 1848.159 1852.333 1810.378 1845.656 1762.327 1744.580 1851.121 1849.431 1826.860 1860.390 1744.709 1701.389 1696.038 1686.429 , 1975.946 2005.066 2214.521 1985.738 1955.221 2012.074 1943.100 1956.215 1945.840 1950.304 1939.018 1937.156 1948.069 2084.123 1937.723 1935.283 1929.626 1928.296 1941.499 1939.822 1931.033 1928.048 1933.446 1947.903 1927.720 1932.951 1941.640 1946.141 1948.748 1952.682 1956.659 1937.382 1946.972 2001.628 1983.627 1963.445 1958.557 1936.750 1924.105 1948.460 1844.829 1875.723 1876.013 1856.382 1932.169 1863.876 1824.961 1832.043 1825.308 1993.337 1825.005 1841.288 1815.790 1836.380 1822.645 1826.605 1827.618 1814.596 1810.871 1813.607 1820.380 1819.436 1818.862 1816.583 1813.657 1811.699 1817.999 1818.659 1834.449 1825.745 1810.594 1826.040 1834.130 1812.879 1809.074 1842.804 1822.070 1824.355 1806.480 1812.403 1685.792 1682.439 1664.907 1663.639 1658.152 1678.431 1725.044 1672.724 1686.713 1665.191 1674.448 1701.660 1681.984 1686.981 1678.556 1669.724 1655.280 1659.650 1679.908 1663.799 1674.118 1696.790 1681.813 1672.593 1665.078 1651.182 1640.899 1638.460 1645.514 1652.056 1665.438 1682.878 1666.236 1657.155 1684.291 1656.057 1649.460 1669.824 1714.472 1676.196
tests/implicitNums.scala, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 737.8065, Mon Nov  6 16:59:08 CET 2017, 6725.697 3953.100 2622.876 1706.487 1740.468 1463.774 1236.959 1187.979 912.352 836.629 788.925 786.883 771.352 770.420 757.648 754.238 765.847 757.536 754.828 763.103 749.883 746.586 753.761 746.412 746.717 756.439 742.248 741.634 767.500 737.718 , 738.273 750.624 741.400 735.253 742.823 737.462 740.606 741.619 738.151 743.200 740.954 734.746 734.483 737.160 730.419 730.126 757.693 733.176 729.980 735.939
tests/scalapb, 3439, 2017-11-06T14:42:00Z, 5f47fbb, 7271.307, Mon Nov  6 17:06:21 CET 2017, 28544.085 17553.575 11018.345 8842.739 8174.550 7951.350 7731.765 7725.293 7782.337 7579.012 7610.179 7525.296 8028.753 7761.620 7363.148 7850.425 7430.324 7370.631 7390.961 7361.795 7349.512 7298.119 7270.602 7334.270 7352.548 7314.156 7307.616 7310.950 7304.137 7294.094 , 7293.256 7286.859 7274.473 7287.982 7649.552 7241.635 7282.018 7279.781 7268.141 7981.843 7248.033 7266.538 7298.516 7231.787 7263.703 7355.290 7245.942 7252.196 7209.854 7233.153
