dotty, 3643, 2017-12-09T23:29:06Z, d58da55, 32823.062, Sun Dec 10 01:02:00 CET 2017, 78106.664 40684.001 35712.956 35331.971 34257.620 34803.660 34080.323 33667.010 33636.761 33518.688 34266.066 33377.868 33170.035 33359.102 33101.160 34160.656 33493.024 32956.166 33087.175 33825.366 33270.752 32956.287 32969.643 33804.128 32750.845 32811.905 33023.482 33710.200 32896.469 32967.720 , 32807.578 33586.529 33004.535 32844.219 32608.426 33628.290 32831.569 32890.867 32814.555 33717.535 32731.813 32889.909 32759.057 33742.870 32591.861 32686.355 32753.242 33824.493 32781.987 32811.040
tests/scala-library, 3643, 2017-12-09T23:29:06Z, d58da55, 5349.971, Sun Dec 10 01:07:22 CET 2017, 25496.422 11532.033 8108.354 7427.045 6178.302 5922.646 5845.955 5693.541 5676.538 5585.493 5595.803 6274.633 5550.299 5549.970 5506.985 5447.102 5599.198 5477.369 5636.093 5466.538 5398.481 5731.968 5390.049 5406.275 5542.751 5516.618 5382.446 5357.272 5451.596 5356.880 , 5363.161 5520.615 5470.087 5490.890 5319.683 5411.163 5351.980 5302.478 5347.962 5334.847 5304.045 5905.340 5363.384 5302.815 5377.948 5404.367 5297.057 5291.077 5323.115 5327.926
tests/implicit_cache.scala, 3643, 2017-12-09T23:29:06Z, d58da55, 96.0615, Sun Dec 10 01:08:33 CET 2017, 3025.514 463.314 382.181 310.116 350.856 226.329 187.943 178.779 154.877 120.776 119.726 116.540 114.038 112.810 116.539 133.976 120.652 125.448 111.568 111.238 108.635 103.276 103.825 101.171 102.723 107.331 99.772 101.830 102.002 100.984 , 97.770 131.023 98.567 97.599 98.120 95.970 97.299 95.596 97.131 95.083 97.157 94.477 96.153 94.442 92.797 94.442 93.427 98.446 91.954 93.326
tests/implicit-scope-loop.scala, 3643, 2017-12-09T23:29:06Z, d58da55, 100.454, Sun Dec 10 01:09:44 CET 2017, 2902.315 526.375 385.103 301.408 375.658 337.044 219.832 188.681 167.541 139.741 151.928 119.942 118.840 114.721 114.016 116.291 111.659 113.940 107.923 109.895 108.224 105.958 109.766 105.065 109.544 105.379 113.608 106.116 108.311 109.730 , 109.312 107.417 111.201 101.602 102.082 100.580 102.291 101.719 98.217 100.328 97.875 99.506 97.363 105.117 100.158 97.042 96.230 95.708 100.254 105.861
tests/i1535.scala, 3643, 2017-12-09T23:29:06Z, d58da55, 108.337, Sun Dec 10 01:10:57 CET 2017, 3390.728 1017.805 571.759 430.438 419.693 296.450 234.336 260.094 179.098 212.402 156.628 157.879 155.818 134.757 157.619 142.897 136.999 129.917 126.517 121.981 122.568 122.112 118.505 117.713 120.120 116.327 115.995 112.855 112.940 113.532 , 110.587 112.915 109.340 114.509 110.499 108.742 108.415 108.259 105.648 105.816 107.832 108.697 108.667 104.385 105.696 112.082 104.401 104.584 106.026 102.504
tests/i1687.scala, 3643, 2017-12-09T23:29:06Z, d58da55, 64.7285, Sun Dec 10 01:12:06 CET 2017, 2589.237 410.424 261.765 192.945 161.428 155.297 115.343 104.072 98.004 80.146 77.712 77.642 76.191 75.959 74.012 79.069 71.573 71.061 71.866 70.004 70.941 69.422 68.487 75.898 69.200 70.532 68.107 71.227 67.069 66.136 , 66.424 65.938 66.726 66.087 66.503 65.231 68.513 64.759 64.463 66.056 63.850 64.698 64.028 64.324 63.796 64.497 63.555 67.631 63.345 63.170
tests/Vector.scala, 3643, 2017-12-09T23:29:06Z, d58da55, 532.1775, Sun Dec 10 01:15:49 CET 2017, 7107.171 2609.737 2067.085 1931.725 1752.199 1224.199 1006.709 1170.542 970.991 1239.219 1075.094 1002.903 870.272 676.292 680.200 657.308 648.592 635.629 638.181 630.989 7790.647 2044.924 1818.567 1871.018 1723.872 1581.044 1405.630 918.469 1183.543 1036.303 789.587 749.100 762.779 764.477 662.649 638.957 611.118 751.414 656.405 601.079 7019.722 2552.581 1953.985 1522.718 1359.444 1243.984 1165.354 1145.860 1136.629 878.337 869.511 739.849 703.252 704.115 656.036 634.667 620.365 709.836 642.473 626.443 , 587.640 677.904 594.662 573.551 567.023 558.299 574.950 559.950 554.269 546.797 550.150 542.111 538.906 549.717 555.627 527.676 530.399 533.310 538.135 529.651 521.071 518.605 535.910 536.645 533.129 522.477 521.926 514.714 516.934 513.354 574.291 657.768 561.119 553.560 532.643 546.685 530.091 520.763 522.702 543.093 533.444 532.130 518.290 530.363 515.793 510.932 513.840 519.311 519.705 500.307 512.214 504.075 517.628 502.968 503.026 497.605 495.464 504.567 498.056 492.964 589.033 767.847 688.312 598.610 561.976 651.320 572.693 552.022 540.962 546.387 552.425 531.768 526.813 546.900 531.633 532.225 529.199 535.474 523.307 515.518 510.048 546.074 523.936 525.922 511.510 524.902 507.844 513.436 589.250 608.277
tests/empty-class.scala, 3643, 2017-12-09T23:29:06Z, d58da55, 51.7915, Sun Dec 10 01:16:58 CET 2017, 2203.623 373.163 234.290 158.580 128.261 128.706 121.738 81.929 69.811 64.438 62.338 62.508 60.703 57.213 59.565 56.529 57.987 55.186 55.145 54.336 54.639 53.880 53.784 53.388 53.443 54.502 53.657 52.678 53.715 52.343 , 52.985 51.730 53.376 52.133 52.107 51.294 52.129 51.494 51.853 51.471 51.955 51.130 53.682 52.399 51.683 51.147 51.457 50.429 52.995 50.326
tests/empty-object.scala, 3643, 2017-12-09T23:29:06Z, d58da55, 53.0615, Sun Dec 10 01:18:07 CET 2017, 2367.696 275.597 201.618 160.277 156.884 117.706 96.167 81.823 67.497 66.726 65.992 62.827 61.976 59.192 59.996 59.285 59.031 56.765 58.032 56.953 56.502 57.383 55.562 56.997 54.805 55.899 54.560 54.726 54.161 54.548 , 53.634 54.260 53.289 54.839 53.219 52.695 54.403 52.801 53.718 54.026 53.355 52.119 52.904 53.593 52.267 52.107 52.848 51.726 52.325 51.658
tests/empty-file.scala, 3643, 2017-12-09T23:29:06Z, d58da55, 37.697, Sun Dec 10 01:19:15 CET 2017, 1654.646 233.435 146.086 104.290 103.902 89.630 68.629 50.763 48.283 45.956 42.510 40.911 40.257 39.359 39.666 42.421 39.538 39.425 39.250 39.258 38.490 39.021 38.058 38.405 38.500 38.234 38.717 37.970 38.380 38.483 , 37.720 38.513 38.500 37.780 38.097 37.093 39.447 37.379 37.811 37.565 38.090 37.737 37.256 37.674 37.333 37.652 37.739 37.019 37.612 36.950
tests/patmatexhaust.scala, 3643, 2017-12-09T23:29:06Z, d58da55, 275.714, Sun Dec 10 01:23:17 CET 2017, 5628.374 2044.179 1577.082 1309.428 829.868 935.632 818.899 753.515 592.795 486.932 443.168 431.602 431.146 464.209 441.058 432.459 399.386 322.579 319.807 316.714 5197.244 2145.786 1212.686 1349.798 1104.553 814.109 904.028 858.904 592.092 513.974 509.748 618.067 609.119 560.556 527.624 378.210 348.251 341.132 327.360 321.706 5091.187 1798.317 1592.148 1084.774 1034.735 1191.914 901.547 921.776 654.734 507.131 623.712 622.451 441.344 411.369 379.766 378.900 373.880 351.605 344.808 346.697 , 378.950 353.653 356.630 291.982 287.846 284.550 276.520 281.443 352.540 328.535 368.195 275.952 274.773 266.797 268.803 267.766 267.218 261.166 260.618 260.613 260.548 283.865 303.912 265.086 256.170 268.255 268.746 266.675 259.779 261.916 271.675 252.299 259.919 273.419 249.086 252.166 256.083 261.104 264.295 247.411 322.574 338.375 324.217 318.668 297.503 340.482 303.752 291.242 412.213 310.493 288.501 284.760 277.146 292.998 278.215 276.321 277.837 270.996 278.153 267.864 271.254 274.112 272.436 271.141 280.244 263.597 339.947 305.868 281.030 270.087 257.858 261.149 263.580 259.275 269.891 262.679 258.685 256.812 253.946 260.964 347.460 336.304 330.189 328.043 308.643 301.079 298.778 309.311 293.309 290.604 295.877 284.803 283.033 286.322 281.493 277.376 280.435 278.441 271.788 270.429 275.141 281.384 275.750 274.360 270.596 264.281 275.678 266.528 261.486 296.026 290.413 300.154 263.981 263.568 301.401 262.561 260.747 259.670 270.694 263.022
